"";"time_sec";"team_size";"item_weight_kg";"item_volume_cc";"palette_quantity";"palette_number";"item_time_sec"
"177";100;5;8,14;64275,75;24;9;4,16666666666667
"178";106;5;8,14;64275,75;24;10;4,41666666666667
"179";170;5;8,14;64275,75;24;11;7,08333333333333
"180";72;5;8,14;64275,75;24;12;3
"181";137;5;8,14;64275,75;24;13;5,70833333333333
"182";91;5;8,14;64275,75;24;14;3,79166666666667
"183";160;5;8,14;64275,75;24;15;6,66666666666667
"184";237;5;8,14;64275,75;24;17;9,875
"185";262;5;8,14;64275,75;24;19;10,9166666666667
"186";85;5;8,14;64275,75;24;20;3,54166666666667
"187";245;5;8,14;64275,75;24;21;10,2083333333333
"188";250;5;8,14;64275,75;24;23;10,4166666666667
"189";190;5;8,14;64275,75;24;25;7,91666666666667
"190";215;5;8,14;64275,75;24;27;8,95833333333333
"191";75;5;8,14;64275,75;24;28;3,125
"192";86;5;8,14;64275,75;24;30;3,58333333333333
"193";312;5;8,14;64275,75;24;31;13
"194";201;5;8,14;64275,75;24;33;8,375
"195";129;5;8,14;64275,75;24;34;5,375
"196";183;5;8,14;64275,75;24;36;7,625
"197";113;5;8,14;64275,75;24;38;4,70833333333333
"198";182;5;8,14;64275,75;24;39;7,58333333333333
"199";114;5;8,14;64275,75;24;41;4,75
